# Locations and occurence times of CCSN in this MW
# 
# CCSN rate = 1.63/century
# Observational period = 1e5 years
# 
# R [kpc]    z [kpc]       phi [rad]    l [rad]       b [rad]       Rs [kpc]      Birthday [yr]
9.3588131    -0.5677387    4.6203794    -0.8840846    -0.0470777    12.0640645    1.8040515e+04
3.8231848    +0.2922114    0.4641073    +0.1426099    +0.0242633    12.0445544    1.8072181e+04
8.5910387    +0.4594874    1.9537533    +0.9847650    +0.0480031    9.5757087     1.8072837e+04
6.4717885    -0.0092259    4.4138104    -0.7532697    -0.0010203    9.0426937     1.8075039e+04
5.3970545    -0.4034397    5.5389310    -0.2851975    -0.0310359    13.0012148    1.8094940e+04
2.3280075    +0.0580686    0.4360897    +0.0924160    +0.0054495    10.6557590    1.8267078e+04
3.6918716    -1.3430477    3.4549740    -0.2243338    -0.2567198    5.2894790     1.8293138e+04
1.0736287    +0.6373572    3.3652247    -0.0319358    +0.0852648    7.4840973     1.8530774e+04
3.0823215    +0.4107629    0.3182252    +0.0841930    +0.0358023    11.4755408    1.8607474e+04
2.2816746    -0.2382190    2.9400828    +0.0727702    -0.0379080    6.2856332     1.8660324e+04
5.8758787    +0.4649863    5.6940734    -0.2392343    +0.0337361    13.7856483    1.8696441e+04
1.4094589    -0.0212972    2.9242634    +0.0426361    -0.0029869    7.1302077     1.8699007e+04
4.0915311    +0.1899245    4.8198311    -0.4270786    +0.0193365    9.8227070     1.8775754e+04
4.4599281    -0.9227458    2.9251965    +0.2270895    -0.2136381    4.3522315     1.8798573e+04
2.0438236    -0.7830699    2.6943443    +0.1320051    -0.1160799    6.7611323     1.8852158e+04
2.5978633    -0.5563874    2.9191736    +0.0957588    -0.0925651    6.0193590     1.8920194e+04
14.5101240   +0.1176031    6.0451546    -0.1502390    +0.0051448    22.8587952    1.8944747e+04
3.3449760    +0.5843607    1.0407203    +0.2759543    +0.0551144    10.6080640    1.8991051e+04
1.6881147    +0.0472389    5.7519576    -0.0856908    +0.0047276    9.9922433     1.9081954e+04
0.9351894    -0.0546496    2.7085724    +0.0512441    -0.0071332    7.6613779     1.9118709e+04
1.8230543    +0.5120376    2.4585461    +0.1609780    +0.0712062    7.1969936     1.9177989e+04
2.6247920    +0.4087987    3.2601392    -0.0526238    +0.0691563    5.9159410     1.9316383e+04
2.3237405    -2.1397846    3.6196804    -0.1645909    -0.3168860    6.8668876     1.9349420e+04
6.0546799    +0.1491665    1.3859858    +0.5543761    +0.0131929    11.3068901    1.9455449e+04
4.1518763    +0.5995838    4.4044024    -0.5000553    +0.0725337    8.2735325     1.9573698e+04
5.6081929    -0.5261210    3.7995546    -0.7010909    -0.0986382    5.3425053     1.9643632e+04
7.5371882    -1.5710788    3.9326778    -1.0324500    -0.2465421    6.4374737     1.9665243e+04
0.5588766    +0.3188377    2.0632275    +0.0597258    +0.0386255    8.2566496     1.9710099e+04
4.6561394    -1.2622792    5.6668549    -0.2154318    -0.0999228    12.6535906    1.9786270e+04
8.9546443    -4.1534485    2.6128636    +1.4023579    -0.7363903    6.1842436     1.9813250e+04
7.2201258    +0.4117959    0.9571628    +0.4363670    +0.0294762    13.9724678    1.9855984e+04
4.7105726    -0.1097083    2.8388995    +0.3373266    -0.0258524    4.2441076     1.9917200e+04
1.5487751    -0.3765893    4.1630151    -0.1700772    -0.0482192    7.8129800     2.0061162e+04
3.0560439    +0.4312463    5.6683890    -0.1589451    +0.0387032    11.1451830    2.0093986e+04
0.5455856    -0.3660194    4.3625204    -0.0615765    -0.0439181    8.3368110     2.0213342e+04
2.5322529    -0.4217336    3.3712984    -0.0952604    -0.0694611    6.0763965     2.0327546e+04
1.0535890    +0.0818333    5.6680612    -0.0648612    +0.0087238    9.3805492     2.0351853e+04
1.6669438    +0.2473974    3.8333073    -0.1462929    +0.0339044    7.2983056     2.0379617e+04
1.6377448    +0.0373305    3.5831336    -0.0993767    +0.0052920    7.0542268     2.0590379e+04
1.6899524    -1.3296724    1.1519778    +0.1664910    -0.1417710    9.4105045     2.0713728e+04
5.0798406    +0.4120755    0.0789960    +0.0295454    +0.0303575    13.5761764    2.0724147e+04
2.7992296    +0.0414735    4.1411569    -0.3250914    +0.0056252    7.3728317     2.0807843e+04
10.5651553   +0.2366365    1.0741174    +0.6014679    +0.0144147    16.4168525    2.0863573e+04
2.7107149    +1.3729502    6.2622042    -0.0050730    +0.1218657    11.2940240    2.0944979e+04
3.0630622    -0.8242653    0.0845709    +0.0223937    -0.0712134    11.5843738    2.0952247e+04
4.5203844    +2.3303176    3.0238982    +0.1315744    +0.5225676    4.6689768     2.0966784e+04
19.1621135   -0.7702055    5.7654453    -0.3605871    -0.0286463    26.8903725    2.1027643e+04
1.5622980    -0.1274481    0.4133320    +0.0631055    -0.0128075    9.9513557     2.1040069e+04
8.0421831    -1.0129479    2.7882811    +1.2403334    -0.3316114    3.1113336     2.1051382e+04
8.4696136    +0.1255342    1.5666242    +0.7815289    +0.0104396    12.0250083    2.1114310e+04
4.2273501    +0.1131484    2.6824100    +0.3785671    +0.0223158    5.0707462     2.1124167e+04
8.9629878    +0.3233422    6.2066101    -0.0393032    +0.0185273    17.4531940    2.1175207e+04
3.4215173    -0.8969163    3.1331449    +0.0056912    -0.1748016    5.1572784     2.1182242e+04
3.3239428    +0.9935997    5.8626825    -0.1171013    +0.0853447    11.6563367    2.1220455e+04
6.6257580    +0.2489510    1.3022649    +0.5569925    +0.0205979    12.0870699    2.1261709e+04
6.7770091    +3.8541194    2.7221123    +0.8738380    +0.8195290    5.2736598     2.1381711e+04
3.2200186    +0.9748226    0.8889466    +0.2331194    +0.0898347    10.8659008    2.1420873e+04
3.7653637    +0.0331464    0.8489487    +0.2517524    +0.0029215    11.3457435    2.1491731e+04
1.0815812    -0.3370293    4.0327690    -0.1071636    -0.0428237    7.8725662     2.1640039e+04
6.5329932    -0.4845650    1.3559587    +0.5729933    -0.0411353    11.7831124    2.1653361e+04
2.5952123    +0.3872419    0.4731891    +0.1089749    +0.0355949    10.8814482    2.1848718e+04
5.2595288    -0.2615940    3.2917595    -0.2340897    -0.0769645    3.4022517     2.1884696e+04
0.9775239    +0.2088485    2.2031042    +0.0992071    +0.0262265    7.9641607     2.1996643e+04
1.3520694    +0.1509499    2.9669196    +0.0327665    +0.0210430    7.1739427     2.2158703e+04
10.3382612   +0.6941669    2.5078572    +1.5431631    +0.1128659    6.1634480     2.2174438e+04
6.5685813    -0.9497144    3.5666489    -0.8222796    -0.2514587    3.8169180     2.2323856e+04
5.8823558    +0.2808543    5.5920356    -0.2801430    +0.0207073    13.5640111    2.2338154e+04
0.3324055    -0.1524101    3.2893617    -0.0059893    -0.0186496    8.1727848     2.2516561e+04
5.0088684    +0.5051124    4.1967503    -0.6257552    +0.0677886    7.4570007     2.2540654e+04
7.6637915    -0.9499797    0.4799656    +0.2273244    -0.0604276    15.7305398    2.2560101e+04
6.4110811    -0.6953448    0.0618662    +0.0265983    -0.0466208    14.9202996    2.2587924e+04
5.4171980    -4.2693240    2.7083963    +0.5654934    -0.7883890    6.0197585     2.2613938e+04
4.2676921    +1.2701091    1.8907746    +0.5150298    +0.1532193    8.3220084     2.2694746e+04
1.0706809    -0.4531640    4.9891047    -0.1166081    -0.0511451    8.8642171     2.2708248e+04
1.4079632    +0.6185216    2.1807625    +0.1488953    +0.0793393    7.8040884     2.2764675e+04
2.6178655    +0.4521829    6.1147158    -0.0395926    +0.0407532    11.0987091    2.2891580e+04
5.2661775    +0.1867135    1.0620591    +0.3939318    +0.0155805    11.9842757    2.2962904e+04
9.5721795    +1.2762617    1.0223738    +0.5444526    +0.0807505    15.8221952    2.3014951e+04
3.6529903    -0.0430497    6.1558538    -0.0382449    -0.0035483    12.1323649    2.3060440e+04
1.6762344    +0.5763855    0.3098368    +0.0505777    +0.0569535    10.1257633    2.3063379e+04
3.4942466    +0.0731932    4.9901693    -0.3413700    +0.0072919    10.0376537    2.3076667e+04
2.1495244    -0.1417050    2.6878042    +0.1424947    -0.0213531    6.6367857     2.3082532e+04
2.8760369    +0.8288884    2.2802279    +0.3181191    +0.1182556    7.0256573     2.3085309e+04
3.5044267    -0.4504258    0.8925639    +0.2497368    -0.0407721    11.0504505    2.3088402e+04
3.2445994    +0.2251854    0.0669646    +0.0184954    +0.0191798    11.7414947    2.3132513e+04
1.9849476    +0.2180591    0.1367570    +0.0258493    +0.0208242    10.4721831    2.3154110e+04
19.0458954   -0.1729044    5.8172563    -0.3235552    -0.0064247    26.9126879    2.3182720e+04
4.9758402    -0.0254390    6.2622668    -0.0077239    -0.0018878    13.4751775    2.3197955e+04
2.1256600    -0.1273819    2.3717858    +0.2090485    -0.0178665    7.1300225     2.3239901e+04
0.1896942    -2.5594044    5.3700253    -0.0174231    -0.2887106    8.9893097     2.3258297e+04
1.7192020    +0.2820682    3.1840196    -0.0107508    +0.0415622    6.7885996     2.3281102e+04
8.3718441    +0.2148651    2.9888811    +1.3954787    +0.1646284    1.3110659     2.3378880e+04
5.4231828    -0.1945149    2.9309299    +0.3408997    -0.0572842    3.3974723     2.3421417e+04
8.5803983    +0.1241507    5.0009078    -0.6446517    +0.0090694    13.6891377    2.3441880e+04
3.3077384    -0.2681726    4.4041751    -0.3980029    -0.0329646    8.1366335     2.3468870e+04
4.0425394    -0.0693424    4.5758839    -0.4666611    -0.0077896    8.9019650     2.3472745e+04
3.5201059    -0.4101448    0.4777346    +0.1383194    -0.0349271    11.7452630    2.3512135e+04
4.2448190    -0.6272946    0.7037365    +0.2298954    -0.0519956    12.0698129    2.3522183e+04
1.2131947    -1.3302006    1.4304973    +0.1376842    -0.1508256    8.8529861     2.3619486e+04
12.7651332   +0.2714048    1.8776174    +1.2061898    +0.0208339    13.0280330    2.3632690e+04
11.5065808   -1.8502594    5.0260124    -0.7374010    -0.1131750    16.3836065    2.3687978e+04
10.0260143   -0.4362687    0.0710158    +0.0384339    -0.0235594    18.5195552    2.3693751e+04
3.9976197    +0.5530250    2.4472404    +0.4403999    +0.0919033    6.0259478     2.3781389e+04
1.3888172    +0.0139605    2.0511839    +0.1554665    +0.0017551    7.9541395     2.4057052e+04
1.8565890    -0.0937361    1.3634693    +0.2017647    -0.0103388    9.0665643     2.4152170e+04
6.0215466    -0.4537334    0.0518184    +0.0214862    -0.0312455    14.5239040    2.4163489e+04
0.9072891    -0.1926049    5.6770138    -0.0558499    -0.0207965    9.2620833     2.4258777e+04
1.4113282    +0.0454489    0.7462748    +0.1001400    +0.0047420    9.5843527     2.4265068e+04
5.3224608    +0.0185791    0.3070459    +0.1179658    +0.0013593    13.6685400    2.4632554e+04
5.0151132    -0.1391355    1.1273047    +0.4020981    -0.0120196    11.5760148    2.4644314e+04
0.6377042    -0.2937836    1.9957028    +0.0704175    -0.0355624    8.2628047     2.4774530e+04
3.1783089    -0.1270100    6.1150237    -0.0456943    -0.0109058    11.6463244    2.4980101e+04
11.8236003   +0.9600019    1.0831096    +0.6396124    +0.0548038    17.5258375    2.5067994e+04
1.0988719    -0.2503806    2.8177451    +0.0468506    -0.0335216    7.4706394     2.5102607e+04
3.7931101    -0.1568443    5.5283697    -0.2267766    -0.0135684    11.5599080    2.5109995e+04
5.0476798    +0.2099106    4.3537405    -0.6123952    +0.0255234    8.2251353     2.5154862e+04
1.5103590    +0.1277644    3.5066142    -0.0759070    +0.0179687    7.1107698     2.5211127e+04
0.6763254    +0.2059680    3.2864050    -0.0124628    +0.0262943    7.8340700     2.5399972e+04
6.9301672    -0.7884983    5.5458789    -0.3293706    -0.0546848    14.4261460    2.5403543e+04
7.1437104    -0.0757427    4.9515451    -0.5978256    -0.0061424    12.3311035    2.5469006e+04
1.0704989    -0.1027377    3.7316471    -0.0781052    -0.0134575    7.6344755     2.5498118e+04
1.0515886    +0.0723505    4.5639691    -0.1239969    +0.0086037    8.4093698     2.5613056e+04
5.3203836    -2.4170031    0.6675659    +0.2541741    -0.1824642    13.3202414    2.5613300e+04
2.1545864    -0.0035405    1.0722304    +0.1960086    -0.0003644    9.7163020     2.5636941e+04
1.5306270    +0.4287559    4.5782555    -0.1808616    +0.0507998    8.4437471     2.6052706e+04
1.9864690    +0.2516701    0.3244771    +0.0609208    +0.0241894    10.4051512    2.6237632e+04
2.8917761    -0.3953892    1.9537607    +0.3469039    -0.0500746    7.8992992     2.6239446e+04
1.8657482    -0.5518994    1.9068058    +0.2197841    -0.0682054    8.0979977     2.6262422e+04
1.7139718    -0.0009034    4.3192212    -0.1991757    -0.0001129    8.0015398     2.6342912e+04
3.7663789    +1.0460788    4.1969714    -0.4582502    +0.1402848    7.4813358     2.6365665e+04
7.5366908    -0.0278278    4.0183274    -1.0049863    -0.0040550    6.8626735     2.6413536e+04
1.3364743    +0.2510789    0.4314650    +0.0574739    +0.0257987    9.7332968     2.6417523e+04
1.0638066    -0.3394171    1.6864044    +0.1254766    -0.0401762    8.4504914     2.6531436e+04
2.3238317    +0.2358532    3.6916843    -0.1842376    +0.0355521    6.6354060     2.6594688e+04
1.7817479    +0.4789595    5.2587111    -0.1601327    +0.0501221    9.5598638     2.6646101e+04
3.2647098    -0.8796855    0.8064164    +0.2156124    -0.0796969    11.0495788    2.6658864e+04
2.8426071    -0.6871075    0.3317998    +0.0825792    -0.0611315    11.2468275    2.6668944e+04
1.4362335    +0.5816173    5.2681195    -0.1310380    +0.0622062    9.3558555     2.6710949e+04
1.2318242    +0.3758778    4.1506405    -0.1321353    +0.0474667    7.9217482     2.6766839e+04
2.1609767    -0.4204629    2.3741352    +0.2127741    -0.0591094    7.1174485     2.6783211e+04
6.6245767    -0.0348745    5.4067221    -0.3801885    -0.0025422    13.7185034    2.6831588e+04
7.0882819    -0.2559057    4.1807162    -0.8942060    -0.0326461    7.8401676     2.6858976e+04
5.1176721    -1.2304105    5.0337165    -0.4475129    -0.1092132    11.2885566    2.6945017e+04
10.7488406   -0.0421013    2.8095787    +2.0136931    -0.0108568    3.8779321     2.7036885e+04
3.5682111    +0.1254915    5.5028404    -0.2236646    +0.0110876    11.3184313    2.7070321e+04
5.7963206    -0.6050819    3.2174307    -0.1600549    -0.2161552    2.8212117     2.7107049e+04
7.5088277    -1.4039882    3.2311935    -0.5819006    -0.8543909    1.8616309     2.7143326e+04
5.5687780    -1.2468071    4.3434592    -0.6748006    -0.1488562    8.4069284     2.7154619e+04
1.8152083    +0.0806982    0.0586758    +0.0103222    +0.0078250    10.3129496    2.7171478e+04
8.8886004    +0.0750798    5.3070372    -0.4999384    +0.0048882    15.3595304    2.7211981e+04
0.2394305    -0.0368205    2.7452633    +0.0111636    -0.0044471    8.2797269     2.7303529e+04
5.0109490    -0.0121632    1.2925343    +0.4538789    -0.0011068    10.9890449    2.7337978e+04
12.7485451   -0.0971004    3.4755842    -2.2741462    -0.0177185    5.4804656     2.7359722e+04
4.9358366    -0.6216187    5.4027754    -0.3158975    -0.0507032    12.2652043    2.7482475e+04
2.6265279    +0.2910417    6.0748766    -0.0490296    +0.0262540    11.0868871    2.7533822e+04
8.4603674    +0.2016826    2.6483239    +1.3148805    +0.0486664    4.1458175     2.7536608e+04
14.5042578   +0.0224270    0.8206297    +0.5233699    +0.0010564    21.2303403    2.7569634e+04
2.3792501    -0.0150355    0.4059217    +0.0876926    -0.0014016    10.7271393    2.7636410e+04
2.9028547    +0.0170874    1.3457312    +0.2999888    +0.0017845    9.5754876     2.7748336e+04
7.7627159    +0.0243231    6.2101552    -0.0348589    +0.0014966    16.2519156    2.7833865e+04
14.1981498   +0.4178254    2.1409654    +1.5009475    +0.0348588    11.9886398    2.7843813e+04
0.8271377    -0.3025792    4.5120326    -0.0969422    -0.0361144    8.3801696     2.8029685e+04
4.9531149    -0.0230436    2.3071307    +0.6169789    -0.0036329    6.3431190     2.8036766e+04
5.0939348    +2.9296509    3.6144084    -0.5293682    +0.5677206    5.4483685     2.8040679e+04
0.9565766    +0.0159201    4.5676640    -0.1127193    +0.0018918    8.4154625     2.8140152e+04
7.2035427    +0.1183002    0.7297623    +0.3333555    +0.0080601    14.6774881    2.8199488e+04
4.5644931    -2.0332198    0.3392631    +0.1180822    -0.1563982    13.0534280    2.8224710e+04
3.2428256    -0.0763012    3.8481118    -0.3357166    -0.0119399    6.3906110     2.8232498e+04
1.8348690    -0.3282007    3.3078052    -0.0453436    -0.0489657    6.7053390     2.8291951e+04
18.7183515   +0.1759947    4.6082495    -1.2322913    +0.0089168    19.7377580    2.8316367e+04
3.4410063    +0.1444372    4.3515843    -0.4161098    +0.0181322    7.9661984     2.8443605e+04
3.2702134    +0.0584804    5.6495418    -0.1721608    +0.0051741    11.3026220    2.8489045e+04
3.0942799    +0.3684343    4.1880749    -0.3678226    +0.0494193    7.4583076     2.8510549e+04
3.7369281    -0.4116839    3.0945195    +0.0368695    -0.0860854    4.7881844     2.8524871e+04
3.6038338    +0.0345757    3.4432319    -0.2085600    +0.0066864    5.1710457     2.8737648e+04
1.9871330    +0.9205555    0.5128309    +0.0950049    +0.0893285    10.3189984    2.8823114e+04
0.7179138    -0.0221520    3.5549485    -0.0367540    -0.0028227    7.8478817     2.8826975e+04
2.4929125    +0.1074418    5.4726906    -0.1749820    +0.0103541    10.3769734    2.8912333e+04
3.7799079    -0.5802945    4.4097226    -0.4550859    -0.0705743    8.2292870     2.8923960e+04
6.7628158    +0.4109100    3.8498796    -0.9180190    +0.0740617    5.5532897     2.9006671e+04
2.7526420    +0.0274986    2.0312587    +0.3267311    +0.0035790    7.6833518     2.9203041e+04
6.1334842    -0.6844282    1.6766225    +0.6604049    -0.0687294    9.9661546     2.9233338e+04
2.8549975    +0.3518788    3.6389440    -0.2235643    +0.0572114    6.1538538     2.9295998e+04
3.0436091    +0.2096149    1.3526678    +0.3137310    +0.0217665    9.6309124     2.9320265e+04
3.5402619    +0.0223953    2.1821296    +0.4213676    +0.0031596    7.0880535     2.9450406e+04
5.0558353    -0.1559680    0.3260919    +0.1212738    -0.0116495    13.3886370    2.9483643e+04
1.8372419    -0.3916349    5.3550187    -0.1520049    -0.0402986    9.7209528     2.9592995e+04
0.1195914    +0.0117504    2.3781371    +0.0098276    +0.0013965    8.4140156     2.9672588e+04
2.4385605    -0.2794192    0.7997002    +0.1698091    -0.0269948    10.3520969    2.9686532e+04
12.3796810   -0.6559037    3.8477511    -1.6847246    -0.0809409    8.1123471     2.9704482e+04
7.5385306    -0.0360251    2.9532574    +0.9110696    -0.0201657    1.7865754     2.9750896e+04
1.8714969    -0.0979838    2.3568224    +0.1822566    -0.0134277    7.2973324     2.9755577e+04
3.3405042    +0.2847872    6.2220127    -0.0172550    +0.0240564    11.8394435    2.9799020e+04
2.2106077    +1.0760938    1.9235610    +0.2619874    +0.1335515    8.0815222     2.9818204e+04
2.5680169    +1.3564057    0.9272971    +0.2018211    +0.1315827    10.3381940    2.9915986e+04
0.1712571    -0.0097495    0.9476413    +0.0161694    -0.0011335    8.6010755     2.9941983e+04
0.9769813    -0.0440972    1.6965951    +0.1151871    -0.0052289    8.4334211     2.9975107e+04
9.8652348    +0.2966271    0.3023341    +0.1624904    +0.0163354    18.1593846    3.0117630e+04
16.6457152   -0.0511492    4.3293598    -1.4242484    -0.0032774    15.6068855    3.0159700e+04
2.4654201    +2.3685513    0.4791236    +0.1059438    +0.2169030    11.0059592    3.0160818e+04
1.3613377    -0.0038747    1.9404130    +0.1572046    -0.0004779    8.1081906     3.0179509e+04
3.8452459    +0.2691180    3.6454676    -0.3470757    +0.0492662    5.4647377     3.0202186e+04
3.9749179    -1.3136900    4.3403115    -0.4833472    -0.1634078    8.0752255     3.0240589e+04
14.5154361   -0.3417577    0.5381213    +0.3410070    -0.0153622    22.2475375    3.0252079e+04
7.3290240    +0.7055529    5.2952805    -0.4541389    +0.0505416    13.9658020    3.0309802e+04
4.5696245    -0.4138971    4.4595726    -0.5414353    -0.0481750    8.5948611     3.0397757e+04
0.3601193    -0.0244760    2.9101411    +0.0101362    -0.0030032    8.1499389     3.0418002e+04
20.0914987   +0.0130209    6.0604593    -0.1566681    +0.0004578    28.4435788    3.0501761e+04
0.1453611    +0.4497760    1.9250116    +0.0161340    +0.0531735    8.4626416     3.0584809e+04
2.6860508    +0.0390888    2.0544030    +0.3169029    +0.0051223    7.6311399     3.0634585e+04
2.4385751    +0.2081490    1.8263764    +0.2907944    +0.0252892    8.2316266     3.0678353e+04
6.4499449    +0.0113392    1.7221049    +0.7027665    +0.0011494    9.8653085     3.0704863e+04
5.4600465    -0.0546135    1.5194616    +0.5557482    -0.0052840    10.3357597    3.0851539e+04
0.8751387    -0.1006522    3.7735476    -0.0662326    -0.0128852    7.8116479     3.0939020e+04
6.2260465    +0.4414349    2.1085561    +0.7888092    +0.0585057    7.5494661     3.1047847e+04
7.2203817    +0.5001828    1.6979357    +0.7567639    +0.0479117    10.4436678    3.1076678e+04
0.9057857    +0.4441374    1.4161121    +0.1032218    +0.0510893    8.6971318     3.1129235e+04
9.4613633    +1.6379200    3.4721497    -1.7160249    +0.4856063    3.5092423     3.1297609e+04
8.4616574    -0.2477076    4.3030102    -0.9866426    -0.0266132    9.3087996     3.1343714e+04
6.6860652    +0.4238479    2.7564623    +0.8285916    +0.1237238    3.4345144     3.1371312e+04
1.7808815    +1.4151493    3.8411600    -0.1592973    +0.1933170    7.3661499     3.1500569e+04
2.6159620    +0.1473914    5.1540414    -0.2411013    +0.0148799    9.9057329     3.1587533e+04
10.3279490   -0.0367068    2.3198715    +1.3792058    -0.0047644    7.7044094     3.1588800e+04
3.6953547    +0.1025353    1.9733158    +0.4492315    +0.0130958    7.8298656     3.1607598e+04
6.6959241    -0.3997541    2.0559383    +0.8336593    -0.0499268    8.0101232     3.1662573e+04
1.6813630    -0.1290058    3.8514799    -0.1505283    -0.0176522    7.3085659     3.1730572e+04
1.8200352    -0.2000991    0.5725314    +0.0979947    -0.0198521    10.0801358    3.1771744e+04
3.6452286    -0.1076407    3.4493782    -0.2162812    -0.0209145    5.1470875     3.1882344e+04
5.6754884    +0.0917945    3.6505973    -0.6626715    +0.0204166    4.4963853     3.1913501e+04
2.0615377    +0.5482415    4.8765632    -0.2262106    +0.0603857    9.0845126     3.1974881e+04
4.9680159    -0.2053429    3.5551261    -0.4678924    -0.0463561    4.4312732     3.1981420e+04
2.6836092    -0.4834450    5.2613531    -0.2272405    -0.0475400    10.1730465    3.2009409e+04
4.4859156    -1.4080117    1.4823333    +0.4654637    -0.1404995    10.0545203    3.2011874e+04
15.2457989   +0.0095272    2.9066315    +2.6303538    +0.0013133    7.2544638     3.2061052e+04
0.8635750    -0.3693195    4.5356422    -0.1014835    -0.0439836    8.3994564     3.2075440e+04
4.9283947    +0.6437280    5.0934432    -0.4168101    +0.0569038    11.3186656    3.2167749e+04
8.8625366    +0.8431827    4.5539715    -0.8890830    +0.0746734    11.3021036    3.2212728e+04
4.1114973    +0.3199166    1.2758029    +0.3854542    +0.0305663    10.4679374    3.2291027e+04
4.1751492    -0.6722802    1.9620394    +0.5095243    -0.0847555    7.9414993     3.2355953e+04
7.9255064    +0.0824015    1.8079027    +0.8595462    +0.0081027    10.1696970    3.2441583e+04
1.1221871    -0.3502409    0.5744918    +0.0644945    -0.0369998    9.4681924     3.2449232e+04
2.5482360    -0.5219780    2.2019217    +0.2859973    -0.0714543    7.3112812     3.2589699e+04
1.0418700    -0.2082785    4.3237387    -0.1184005    -0.0255115    8.1649968     3.2642095e+04
8.6777294    +0.4910952    0.0082054    +0.0041451    +0.0285815    17.1846034    3.2754525e+04
1.6197939    +0.2372222    2.5531850    +0.1250390    +0.0328950    7.2127973     3.2778988e+04
7.0094548    -0.0603824    4.4960399    -0.7746146    -0.0061690    9.7880758     3.2908493e+04
11.9100451   -0.2918013    5.1329502    -0.6829983    -0.0169372    17.2292668    3.2962118e+04
5.4334455    +0.4911328    0.3143715    +0.1223178    +0.0356517    13.7787959    3.2989234e+04
5.2683788    +0.8361728    4.7991644    -0.5300612    +0.0803739    10.4147526    3.2989697e+04
1.1688065    -0.0830253    5.2437237    -0.1103768    -0.0090756    9.1482608     3.2989728e+04
6.6320816    +0.0960912    2.3002564    +0.8809038    +0.0149887    6.4111340     3.3060985e+04
7.3754062    -0.1342134    5.9747833    -0.1431906    -0.0085550    15.6885627    3.3186262e+04
3.4528792    +3.9066854    2.8290677    +0.2008515    +0.6332815    6.6014376     3.3230138e+04
3.1567745    +0.2320486    3.4923782    -0.1935168    +0.0411147    5.6455248     3.3308595e+04
3.8172945    +0.1946043    2.5711331    +0.3717604    +0.0342792    5.6781493     3.3512235e+04
3.1261386    -0.2384568    6.2598666    -0.0062699    -0.0205086    11.6279625    3.3574406e+04
8.8624964    -0.0529530    6.2132428    -0.0357017    -0.0030517    17.3519659    3.3612371e+04
4.3452530    -0.3458239    3.4366641    -0.2831701    -0.0763162    4.5358622     3.3714385e+04
1.8627355    -0.0867116    3.6152798    -0.1235533    -0.0125755    6.8954712     3.3771828e+04
2.0196523    +0.1089741    4.3985822    -0.2392207    +0.0134404    8.1081788     3.3779181e+04
2.0576787    -0.2138149    5.9364346    -0.0669124    -0.0204411    10.4607993    3.3785036e+04
9.8465738    +0.4914676    2.4745129    +1.4460023    +0.0798763    6.1594059     3.3844606e+04
1.3515200    +0.3740784    1.8396679    +0.1587038    +0.0453415    8.2530693     3.3850822e+04
9.4666964    -0.3655334    1.2741962    +0.6768950    -0.0252849    14.4581524    3.3852746e+04
1.3915389    +0.6634727    5.1040137    -0.1414655    +0.0726033    9.1463606     3.3925542e+04
8.6354262    +0.3334089    3.2541587    -1.6538762    +0.3300077    1.0288801     3.3993682e+04
2.3527209    -0.2810644    1.7706000    +0.2795377    -0.0336177    8.3621744     3.4010154e+04
3.1531059    +0.3341387    4.4948629    -0.3750922    +0.0397395    8.4104372     3.4011694e+04
3.7758415    +0.3663199    1.9575210    +0.4590055    +0.0463782    7.9013746     3.4029763e+04
5.2445014    +0.1005875    6.0230434    -0.0990976    +0.0073771    13.6353082    3.4047984e+04
6.5657504    +0.3572310    2.8348418    +0.7243547    +0.1188355    3.0131848     3.4119953e+04
1.4310539    +0.3321679    2.8774652    +0.0524345    +0.0465643    7.1361061     3.4252276e+04
0.5324380    +0.0113564    3.5729787    -0.0277647    +0.0014161    8.0194391     3.4336840e+04
5.8469523    +0.6768174    5.6238948    -0.2664628    +0.0497191    13.6184415    3.4403328e+04
4.8189986    -0.1191968    0.4678866    +0.1681769    -0.0091798    12.9848038    3.4421748e+04
10.2126276   +0.0453122    3.7392449    -1.5607666    +0.0078844    5.7471463     3.4624615e+04
10.2530845   +0.7477314    4.5362397    -0.9846041    +0.0616292    12.1404339    3.4708740e+04
18.0193188   -1.5982267    5.4266399    -0.5907047    -0.0652849    24.4981858    3.4764771e+04
7.6221026    -0.5364345    6.0439463    -0.1130747    -0.0334995    16.0162247    3.4785721e+04
0.5307584    +0.4380894    2.0639456    +0.0566168    +0.0529752    8.2735826     3.4803656e+04
4.8543351    -1.0905798    0.2696186    +0.0977994    -0.0821707    13.2870711    3.4843429e+04
3.7355469    -1.2362805    5.0022608    -0.3580194    -0.1204348    10.2899998    3.4846635e+04
7.4405663    -0.0228863    4.0349607    -0.9862341    -0.0032921    6.9519753     3.4935796e+04
5.0842740    -0.2390584    2.1434600    +0.6395238    -0.0333761    7.1639023     3.5033254e+04
5.0474882    -0.3831578    3.4046047    -0.3472404    -0.0990352    3.8752357     3.5139125e+04
0.3555873    +0.6440254    4.6102677    -0.0417698    +0.0758799    8.4955848     3.5340079e+04
14.7100431   +0.0351622    1.4465301    +0.9552300    +0.0019668    17.8782558    3.5353254e+04
1.6141345    -0.0120683    3.5534182    -0.0917693    -0.0017117    7.0504984     3.5378889e+04
0.6855174    -0.2901668    1.7839467    +0.0800208    -0.0346048    8.3868282     3.5412065e+04
