# Locations and occurence times of CCSN in this MW
# 
# CCSN rate = 1.63/century
# Observational period = 1e5 years
# 
# R [kpc]    z [kpc]       phi [rad]    l [rad]       b [rad]       Rs [kpc]      Birthday [yr]
2.1744751    -0.9721416    5.0954827    -0.2132743    -0.1016708    9.5781530     4.0120113e+03
5.0601552    +0.1950407    5.4813268    -0.2938116    +0.0155314    12.5583029    4.0455452e+03
0.8791057    -0.0107946    1.7680613    +0.1031493    -0.0012893    8.3722125     4.0597674e+03
3.5482183    -0.3100533    3.0978256    +0.0313197    -0.0624595    4.9672969     4.0675041e+03
1.4945697    -0.2282420    2.4511254    +0.1288304    -0.0307956    7.4126795     4.1231419e+03
1.8435023    +0.5690197    6.1210446    -0.0288310    +0.0550626    10.3392830    4.1734395e+03
6.9018260    -0.0380483    4.4663610    -0.7761450    -0.0039818    9.5556404     4.1900837e+03
1.5144185    -0.0856104    5.7494771    -0.0784235    -0.0087053    9.8344011     4.1985966e+03
2.8235774    +0.1121000    5.7577016    -0.1287227    +0.0101592    11.0344809    4.4190787e+03
1.6221782    +0.5037394    2.2579773    +0.1663004    +0.0663984    7.5921959     4.8258275e+03
4.8781472    -0.0197905    3.2770698    -0.1777967    -0.0053124    3.7253301     4.8293850e+03
5.8070476    -0.4398421    0.3125352    +0.1266209    -0.0310986    14.1457697    4.8461799e+03
0.3511727    -0.3325691    1.9778865    +0.0385499    -0.0397260    8.3737802     5.0343225e+03
6.3233942    +0.4379311    0.0275339    +0.0117453    +0.0295374    14.8284879    5.1288606e+03
4.2296904    -0.1886464    4.0188381    -0.5113741    -0.0283760    6.6489998     5.1352022e+03
2.3676308    -0.8208483    3.8406884    -0.2240007    -0.1191061    6.9080639     5.1778173e+03
8.4290480    -0.3993378    4.4583309    -0.9070088    -0.0385352    10.3655069    5.1859086e+03
10.1790941   -1.2895398    1.0484578    +0.5761567    -0.0794703    16.2437755    5.2165825e+03
3.9742681    +1.1195401    5.7023378    -0.1824125    +0.0928570    12.0739527    5.2186366e+03
8.7614377    -0.1346226    3.9730887    -1.1893415    -0.0192968    6.9768524     5.2247710e+03
11.9659055   -0.9633037    0.0491466    +0.0287356    -0.0470478    20.4825687    5.2740021e+03
3.4942862    -0.1662253    1.9590869    +0.4233747    -0.0211127    7.8738387     5.5649729e+03
3.3570054    +0.4672844    1.5838594    +0.3778795    +0.0513160    9.1100144     5.6264015e+03
0.3284589    +0.2549060    0.3803664    +0.0138485    +0.0289393    8.8095166     5.6582326e+03
8.5191931    -0.0747932    3.5942155    -1.3493826    -0.0195826    3.8196216     5.6609777e+03
3.7960405    -0.4605969    1.8825635    +0.4576584    -0.0562681    8.1900698     5.7210841e+03
6.5748799    +0.0436828    0.0550242    +0.0239978    +0.0028988    15.0693314    5.8644857e+03
0.5924082    -0.2401000    3.2734819    -0.0098453    -0.0303327    7.9167620     5.9017249e+03
5.3467478    -0.0016448    0.2592036    +0.0999306    -0.0001197    13.7366676    5.9237034e+03
4.6630521    +0.0551299    3.7036425    -0.4994962    +0.0106257    5.1884524     5.9725505e+03
0.7434701    -0.1113414    3.0574034    +0.0080572    -0.0143482    7.7602138     5.9866375e+03
8.9238274    +1.9833490    2.5950519    +1.3840951    +0.3977950    5.1198196     6.0442446e+03
7.0245446    -0.1816063    6.1228140    -0.0725486    -0.0117348    15.4761788    6.0621473e+03
0.9370830    -0.1452937    0.8343173    +0.0758967    -0.0158677    9.1569335     6.2071559e+03
